数据集_模型,seller_0,seller_1,seller_2,seller_3,seller_4,seller_5,seller_6,seller_7,seller_8,seller_9,模型准确率,Shapley值总和
iris_lr,0.126111111,0.037222222,0.167222222,0.090555556,0.127777778,0.068333333,0.201111111,0.046666667,0.077222222,0.057777778,1,1
iris_svm,0.06,0.068888889,0.09,0.070555556,0.103888889,0.046666667,0.178888889,0.122222222,0.173333333,0.085555556,1,1
iris_rf,0.118888889,0.087777778,0.078333333,0.088333333,0.118333333,0.083888889,0.128333333,0.128333333,0.141111111,0.026666667,1,1
iris_dt,0.07,0.098333333,0.100555556,0.115555556,0.111111111,0.088333333,0.08,0.087222222,0.106111111,0.142777778,1,1
iris_gb,0.098888889,0.043333333,0.09,0.094444444,0.174444444,0.116111111,0.091666667,0.060555556,0.202222222,0.028333333,1,1
iris_knn,0.102777778,0.084444444,0.085555556,0.083333333,0.109444444,0.120555556,0.100555556,0.107777778,0.097222222,0.108333333,1,1
iris_mlp,0.183888889,0.155555556,0.084444444,0.100555556,0.152777778,0.065555556,0.083333333,0.032222222,0.135,0.006666667,1,1
titanic_lr,0.12712963,0.05712963,0.093425926,0.125555556,0.119814815,0.120092593,0.10462963,0.072314815,0.075092593,0.104814815,0.671641791,1
titanic_svm,0.200478927,0.088505747,0.062452107,0.127011494,0.100670498,0.101149425,0.046551724,0.112068966,0.108045977,0.053065134,0.649253731,1
titanic_rf,0.074470135,0.060115607,0.139499037,0.089884393,0.180250482,0.044508671,0.158188825,0.094990366,0.056743738,0.101348748,0.645522388,1
titanic_dt,0.045679012,0.061316872,0.061728395,0.134156379,0.096296296,0.136316872,0.124279835,0.133333333,0.033539095,0.173353909,0.604477612,1
titanic_gb,0.110795455,0.046117424,0.090435606,0.194034091,0.134564394,0.122348485,0.124431818,0.056723485,0.086363636,0.034185606,0.656716418,1
titanic_knn,0.073674242,0.064204545,0.055776515,0.097916667,0.119128788,0.125189394,0.126041667,0.098768939,0.124621212,0.11467803,0.656716418,1
titanic_mlp,0.16196319,0.106850716,0.083231084,0.017280164,0.059713701,0.0599182,0.207668712,0.152760736,0.048261759,0.102351738,0.608208955,1
cora_lr,0.132078853,0.114964158,0.080017921,0.091980287,0.159229391,0.117249104,0.107706093,0.036962366,0.108512545,0.051299283,0.725146199,1
cora_svm,0.105633147,0.137057728,0.095530726,0.094785847,0.103817505,0.088687151,0.091759777,0.090875233,0.0858473,0.106005587,0.69785575,1
cora_rf,0.126460018,0.113791554,0.119137466,0.095013477,0.074618149,0.139442947,0.091329739,0.048292902,0.114555256,0.077358491,0.723196881,1
cora_dt,0.15907173,0.091561181,0.101054852,0.085390295,0.103955696,0.082067511,0.07478903,0.088924051,0.107067511,0.106118143,0.615984405,1
cora_gb,0.060989011,0.07742674,0.091483516,0.10782967,0.063186813,0.170100733,0.113141026,0.124038462,0.075457875,0.116346154,0.709551657,1
cora_knn,0.108719136,0.107561728,0.044290123,0.078703704,0.137345679,0.140895062,0.144598765,0.086805556,0.039583333,0.111496914,0.421052632,1
cora_mlp,0.067383513,0.073073477,0.104345878,0.077643369,0.07468638,0.120743728,0.135394265,0.098342294,0.113664875,0.134722222,0.725146199,1
breast_cancer_lr,0.08997955,0.08394683,0.139672802,0.120449898,0.040286299,0.181595092,0.156952965,0.073415133,0.028834356,0.084867076,0.953216374,1
breast_cancer_svm,0.1007431,0.061783439,0.06581741,0.126433121,0.082271762,0.088428875,0.166454352,0.138428875,0.071656051,0.097983015,0.918128655,1
breast_cancer_rf,0.096646341,0.102439024,0.104573171,0.121544715,0.135772358,0.091056911,0.120934959,0.087601626,0.069308943,0.070121951,0.959064327,1
breast_cancer_dt,0.083028455,0.070630081,0.105386179,0.063617886,0.129776423,0.14949187,0.122764228,0.072154472,0.12296748,0.080182927,0.959064327,1
breast_cancer_gb,0.076161616,0.112525253,0.071616162,0.097373737,0.192626263,0.091616162,0.131515152,0.055757576,0.078181818,0.092626263,0.964912281,1
breast_cancer_knn,0.116771488,0.058595388,0.122641509,0.067190776,0.101677149,0.198637317,0.086268344,0.07851153,0.068658281,0.101048218,0.929824561,1
breast_cancer_mlp,0.059748428,0.125471698,0.099266247,0.138469602,0.146121593,0.119811321,0.063836478,0.091404612,0.06278826,0.093081761,0.929824561,1
digits_lr,0.091411239,0.113090677,0.105619413,0.071551724,0.076628352,0.050159642,0.052426564,0.180523627,0.142145594,0.116443167,0.966666667,1
digits_svm,0.06641604,0.102036341,0.097274436,0.086434837,0.17835213,0.105137845,0.114442356,0.045989975,0.117199248,0.086716792,0.985185185,1
digits_rf,0.084788109,0.050948767,0.054870335,0.191397849,0.056356736,0.099367489,0.121157495,0.106135357,0.102783049,0.132194813,0.975925926,1
digits_dt,0.094916485,0.059331881,0.068336964,0.078976035,0.155228758,0.095206972,0.120951344,0.077995643,0.123819898,0.12523602,0.85,1
digits_gb,0.111425781,0.07639974,0.114453125,0.08655599,0.103971354,0.073990885,0.064322917,0.13264974,0.116992188,0.119238281,0.948148148,1
digits_knn,0.130373832,0.159626168,0.08635514,0.085140187,0.118193146,0.05211838,0.101869159,0.110685358,0.055327103,0.100311526,0.990740741,1
digits_mlp,0.102182163,0.09573055,0.121157495,0.073371284,0.057938014,0.062681847,0.098260595,0.11998735,0.107210626,0.161480076,0.975925926,1
wine_lr,0.125320513,0.0875,0.079807692,0.075641026,0.059935897,0.122115385,0.094871795,0.112179487,0.105128205,0.1375,0.962962963,1
wine_svm,0.097747748,0.122522523,0.112612613,0.118468468,0.204954955,0.095045045,0.078378378,0.05990991,0.024324324,0.086036036,0.685185185,1
wine_rf,0.136792453,0.173899371,0.070754717,0.07672956,0.069496855,0.097484277,0.147484277,0.063522013,0.071069182,0.092767296,0.981481481,1
wine_dt,0.064965986,0.139455782,0.047278912,0.104421769,0.098639456,0.148639456,0.04829932,0.082993197,0.171088435,0.094217687,0.907407407,1
wine_gb,0.095512821,0.140064103,0.054166667,0.070512821,0.180769231,0.134615385,0.073397436,0.07724359,0.059935897,0.113782051,0.962962963,1
wine_knn,0.145614035,0.06754386,0.085087719,0.062719298,0.207017544,0.063596491,0.13377193,0.071491228,0.018421053,0.144736842,0.703703704,1
wine_mlp,0.081699346,0.108169935,0.141830065,0.099673203,0.156862745,0.021895425,0.101633987,0.04869281,0.138562092,0.100980392,0.944444444,1
adult_lr,0.135674,0.101359,0.076391,0.091079,0.098063,0.087314,0.097738,0.100123,0.098959,0.1133,0.8502,1
adult_svm,0.055197,0.145117,0.130254,0.103025,0.081959,0.100008,0.054849,0.157313,0.071514,0.100765,0.8497,1
adult_rf,0.027812,0.120343,0.08543,0.060129,0.184356,0.067769,0.09633,0.134528,0.086638,0.136666,0.8504,1
adult_dt,0.10809,0.117442,0.141101,0.07304,0.078717,0.103389,0.116401,0.114335,0.088981,0.058503,0.859,1
adult_gb,0.11175,0.074724,0.088378,0.10015,0.099009,0.125533,0.099522,0.086338,0.126981,0.087615,0.8596,1
adult_knn,0.098735,0.087236,0.083317,0.074382,0.099788,0.15291,0.072847,0.141207,0.112348,0.077231,0.8188,1
adult_mlp,0.121822,0.115288,0.127363,0.096929,0.072207,0.074847,0.127722,0.063107,0.130272,0.070442,0.8461,1
cifar10_arff_lr,0.12843,0.048723,0.094607,0.096973,0.131504,0.097209,0.084201,0.120388,0.111164,0.086802,0.318,1
cifar10_arff_rf,0.069162,0.066111,0.055736,0.140968,0.185924,0.076485,0.091131,0.12022,0.092352,0.101912,0.334,1
cifar10_arff_mlp,0.063415,0.030352,0.05122,0.161518,0.153388,0.095393,0.190515,0.09458,0.042818,0.116802,0.306,1
cifar10_arff_resnet,0.097448,0.287703,0.156613,0.078886,0.054524,0,0.141531,0.099768,0.062645,0.020882,0.084,1
